Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,2 to 3 years,Indian rupees (?),C++; Java; Python,NA,NA
,6 to 7 years,Polish zloty (zl),NA,NA,NA
,2 to 3 years,NA,Java; JavaScript; SQL,NA,NA
,13 to 14 years,NA,NA,NA,NA
,14 to 15 years,Euros (€),C; C#; Groovy; Java; JavaScript; Ruby; Scala; SQL; TypeScript; VBA,Rust,53763.44086
,5 to 6 years,U.S. dollars ($),Java; Python; R; SQL,C; C++; Java; PHP; Python; R; SQL,NA
,2 to 3 years,U.S. dollars ($),CoffeeScript; Elixir; JavaScript; PHP; Python; Ruby; SQL; TypeScript,Go; JavaScript; Ruby; SQL,NA
,10 to 11 years,NA,Java,Java; Scala,NA
,8 to 9 years,NA,CoffeeScript; Java; JavaScript; Swift,CoffeeScript; Go; Haskell; Java; JavaScript,NA
,20 or more years,Euros (€),C#; Java; JavaScript; SQL; TypeScript,C#; Swift; TypeScript,66666.66667
,2 to 3 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),Swift,Elixir; Ruby; Swift,1.10E+05
,17 to 18 years,Indian rupees (?),NA,NA,38173.5428
,13 to 14 years,U.S. dollars ($),C#; JavaScript; SQL,C#; Dart; JavaScript; SQL,8.50E+04
,20 or more years,NA,C#; Java; JavaScript; Python; SQL; VBA,C++; C#; Erlang; Go; Java; Scala; VBA,NA
,14 to 15 years,NA,C++; Java; JavaScript; Python; TypeScript,JavaScript; Rust; TypeScript,NA
,16 to 17 years,NA,Groovy; Java; Python; Scala; SQL,Go; Scala,45822.10243
,4 to 5 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,20 or more years,NA,JavaScript,C; C++; JavaScript,NA
,17 to 18 years,NA,NA,NA,NA
,8 to 9 years,NA,C#; JavaScript,Elixir; JavaScript,NA
,20 or more years,Euros (€),NA,NA,NA
,3 to 4 years,NA,C#; JavaScript; Python; SQL,Clojure; Dart; Go; Python; TypeScript,NA
,9 to 10 years,Canadian dollars (C$),Java; JavaScript; Python,Rust,38484.84848
,5 to 6 years,NA,NA,NA,NA
,9 to 10 years,NA,C++; C#; Rust; SQL,C#; SQL,NA
,17 to 18 years,NA,C; C++; Java; JavaScript; Objective-C; PHP; Scala; SQL; Swift,Java; JavaScript; Objective-C; Scala; SQL; Swift,NA
,11 to 12 years,U.S. dollars ($),C; C++; C#; Go; JavaScript; TypeScript,C++; Go,1.65E+05
,13 to 14 years,NA,C; Python,C; Python,NA
,12 to 13 years,U.S. dollars ($),C#; F#,F#; Scala,1.00E+05
,9 to 10 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,3 to 4 years,NA,C#; JavaScript; SQL,C++; Common Lisp; Go; Java; JavaScript; Rust,NA
,11 to 12 years,U.S. dollars ($),Java; SQL,Clojure; Java; Rust; Swift,6.10E+04
,20 or more years,NA,C; Common Lisp; JavaScript; PHP; Python; SQL,Common Lisp,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL,C#; JavaScript; SQL,1.50E+05
,10 to 11 years,U.S. dollars ($),C#; JavaScript; Python,C#; CoffeeScript; F#; JavaScript; Python,8.20E+04
,6 to 7 years,British pounds sterling (£),NA,NA,NA
,14 to 15 years,NA,JavaScript,JavaScript; PHP; Swift; TypeScript,NA
,17 to 18 years,Euros (€),NA,NA,43010.75269
,9 to 10 years,U.S. dollars ($),CoffeeScript; Haskell; Java; JavaScript; Ruby; Scala; SQL,Haskell; SQL,8.50E+04
,6 to 7 years,NA,NA,NA,NA
,5 to 6 years,NA,C#; JavaScript; PHP; Python; SQL; VB.NET,Assembly; C#; PHP; Python; SQL,NA
,7 to 8 years,NA,NA,Common Lisp,NA
,2 to 3 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,British pounds sterling (£),NA,NA,43750
,6 to 7 years,NA,JavaScript; PHP; SQL,C#; Python; Ruby,NA
,10 to 11 years,Euros (€),C#; Java; Python; SQL,Go; Java; Python,47311.82796
,20 or more years,U.S. dollars ($),Java,Groovy,1.10E+05
,20 or more years,NA,C; C++; Java; JavaScript; TypeScript,Clojure; Go; Java; JavaScript; Rust; Scala; TypeScript,NA
,6 to 7 years,NA,NA,NA,NA
,4 to 5 years,NA,C#; JavaScript; PHP; SQL,JavaScript; PHP; SQL; TypeScript,NA
,13 to 14 years,NA,C#; JavaScript; Perl; Swift,CoffeeScript; TypeScript,NA
,NA,NA,NA,NA,NA
,12 to 13 years,NA,NA,NA,NA
,14 to 15 years,NA,Java; JavaScript; PHP; SQL; VBA; Visual Basic 6,Java; JavaScript; Perl; PHP; SQL,NA
,4 to 5 years,NA,C#; JavaScript; TypeScript,C#; F#; Go; TypeScript,NA
,9 to 10 years,NA,Java; JavaScript; SQL,C#; Java; Swift,NA
,9 to 10 years,Swiss francs,C#; JavaScript; SQL,NA,63500
,20 or more years,Swedish kroner (SEK),C++; C#; F#; JavaScript; SQL,C++; C#; F#,47511.31222
,7 to 8 years,Brazilian reais (R$),C; C++; SQL,C; C++; C#; Python; SQL,32484.07643
,8 to 9 years,U.S. dollars ($),Ruby,Haskell; Python; Ruby; Scala,8.80E+04
,10 to 11 years,NA,Objective-C; Python,Objective-C; Python; Swift,NA
,15 to 16 years,Euros (€),JavaScript; Perl,JavaScript; Ruby,67096.77419
,9 to 10 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,14 to 15 years,U.S. dollars ($),C++; C#; JavaScript; PHP; SQL; VB.NET; VBA,NA,NA
,20 or more years,U.S. dollars ($),C++; C#; SQL,JavaScript; Objective-C; Python; R; Ruby,1.20E+05
,20 or more years,Australian dollars (A$),C#,C#; R,NA
,19 to 20 years,Russian rubles (?),C#; Python; SQL,C#; Go; JavaScript,25062.65664
,3 to 4 years,NA,NA,NA,NA
,20 or more years,NA,JavaScript; PHP; SQL,C#; Java; JavaScript; PHP; Python; SQL,NA
,3 to 4 years,NA,NA,NA,NA
,12 to 13 years,Brazilian reais (R$),Groovy; PHP,Python,15286.6242
,10 to 11 years,NA,NA,NA,NA
,10 to 11 years,NA,C; C#; PHP; SQL,C; C++; C#; PHP,NA
,5 to 6 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,8 to 9 years,Indian rupees (?),Assembly; C; C++; JavaScript; Matlab; Python,C; C++; Go; Haskell; Java; JavaScript; Matlab; Python,NA
,6 to 7 years,Euros (€),Java; JavaScript; SQL,JavaScript; SQL,4.00E+04
,20 or more years,Euros (€),C#; JavaScript; PHP; SQL,CoffeeScript; Dart; F#; TypeScript,NA
,1 to 2 years,NA,JavaScript; Python; SQL,JavaScript; Python,NA
,8 to 9 years,Polish zloty (zl),NA,NA,NA
,17 to 18 years,NA,C#,F#; Python,NA
,19 to 20 years,NA,NA,NA,NA
,13 to 14 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),Java; Scala,Java; Scala,1.50E+05
,12 to 13 years,U.S. dollars ($),C#; SQL; Visual Basic 6,C#; Java; SQL,NA
,2 to 3 years,Euros (€),NA,NA,8602.150538
,20 or more years,NA,Java,Java,NA
,20 or more years,U.S. dollars ($),C; JavaScript; SQL,Go; JavaScript; Python; TypeScript,137500
,10 to 11 years,U.S. dollars ($),C; C++; Lua,Lua; Python; Rust,5.00E+04
,20 or more years,U.S. dollars ($),Groovy; Java; JavaScript; SQL,Groovy; Java; JavaScript; SQL,1.60E+05
,6 to 7 years,NA,Assembly; C; Java; Matlab; Python,Assembly; C,NA
,20 or more years,U.S. dollars ($),C#; SQL,C#; F#; JavaScript; TypeScript,9.00E+04
,6 to 7 years,Euros (€),Assembly; C; C++; Java; Objective-C; PHP; Python; SQL,C; C++; Java; Python,NA
,4 to 5 years,Indian rupees (?),C++; JavaScript; Python,C++; Go; Haskell; JavaScript; Matlab; Python; TypeScript,NA
,20 or more years,Canadian dollars (C$),C++; C#; JavaScript; SQL,C++; C#; Java; JavaScript; SQL; Swift,46969.69697
,14 to 15 years,Brazilian reais (R$),Java; JavaScript,Elixir; Go,37579.61783
,20 or more years,U.S. dollars ($),Java; JavaScript; SQL,Clojure; Groovy; Java; JavaScript; Scala; SQL; Swift,NA
,20 or more years,U.S. dollars ($),C; Java; JavaScript; Perl; Python; SQL,C; Go; Java; Perl; Python; Ruby; SQL,NA
,9 to 10 years,British pounds sterling (£),C++; Haskell; Python,C++; Haskell,NA
,7 to 8 years,NA,Assembly; C; C++; C#; Java; JavaScript; PHP; Python; Scala; SQL,Go; Groovy; Hack; Haskell; Matlab; Rust,NA
,2 to 3 years,NA,NA,NA,NA
,20 or more years,NA,Java; JavaScript; SQL,Java; JavaScript; SQL; Swift,NA
,15 to 16 years,Euros (€),Java; JavaScript; SQL,Java; Python; R; Scala; SQL,62365.5914
,4 to 5 years,NA,NA,NA,NA
,3 to 4 years,Indian rupees (?),C#; JavaScript,C#; Objective-C,5652.620761
,20 or more years,British pounds sterling (£),C; C++; C#,C++; C#; Erlang; F#; Go; R; Ruby; Rust,62500
,20 or more years,Euros (€),C#,C#; F#; TypeScript,25806.45161
,16 to 17 years,NA,Go; JavaScript; Ruby,NA,NA
,20 or more years,U.S. dollars ($),C; C++; C#; Java; Lua; Python; SQL,C#; Java; Python,1.10E+05
,20 or more years,U.S. dollars ($),Go,Go,8.20E+04
,4 to 5 years,Canadian dollars (C$),JavaScript; PHP; SQL,C; C++; C#; JavaScript; PHP; SQL,23484.84848
,3 to 4 years,U.S. dollars ($),Assembly; C#; Java; Python; Ruby,C; C#; Python; Rust,NA
,5 to 6 years,Indian rupees (?),PHP,JavaScript; PHP,7752.165614
,15 to 16 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C; C++; Java; Python,C; C++; Java; Python,1.04E+05
,7 to 8 years,NA,Java; JavaScript; Matlab; PHP; SQL; VB.NET; VBA; Visual Basic 6,C#; Python,NA
,15 to 16 years,Brazilian reais (R$),NA,NA,25477.70701
,15 to 16 years,NA,C#; JavaScript; SQL; TypeScript; VB.NET; VBA,C#; JavaScript; SQL; TypeScript,NA
,16 to 17 years,Russian rubles (?),Python,Go; JavaScript; Python,NA
,13 to 14 years,NA,NA,NA,NA
,20 or more years,NA,JavaScript,Scala,NA
,6 to 7 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,15 to 16 years,Euros (€),C#; JavaScript; SQL,C#; F#; JavaScript,38709.67742
,15 to 16 years,NA,Java; Python,Java; Python,NA
,13 to 14 years,Swedish kroner (SEK),Assembly; C; C++,Go; Rust,4242.081448
,9 to 10 years,Canadian dollars (C$),JavaScript,NA,37878.78788
,20 or more years,U.S. dollars ($),C#; SQL; TypeScript,C#; Rust; SQL; TypeScript,NA
,7 to 8 years,U.S. dollars ($),C#; Java; Matlab; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,C; C++; Lua; Perl,52500
,18 to 19 years,U.S. dollars ($),C#; JavaScript; SQL,C#; JavaScript; Python,100501
,3 to 4 years,NA,NA,NA,NA
,9 to 10 years,Euros (€),C; C++; C#,NA,NA
,11 to 12 years,U.S. dollars ($),JavaScript; Python,Python,9.30E+04
,17 to 18 years,U.S. dollars ($),CoffeeScript; Elixir; JavaScript; PHP; SQL,NA,9.00E+04
,3 to 4 years,NA,C#; Matlab; Python,Assembly; C; C++; Java; JavaScript; PHP,NA
,1 to 2 years,NA,NA,NA,NA
,19 to 20 years,Swedish kroner (SEK),C++; Java; JavaScript,C++; Perl,47511.31222
,7 to 8 years,NA,NA,NA,NA
,20 or more years,NA,C#; SQL,C++; C#; Go; SQL,NA
,20 or more years,NA,C; Common Lisp; Elixir; Erlang; Java; JavaScript; SQL,NA,NA
,14 to 15 years,U.S. dollars ($),NA,NA,NA
,7 to 8 years,NA,JavaScript; PHP,Elixir; JavaScript; PHP,NA
,1 to 2 years,NA,NA,NA,NA
,13 to 14 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,C; C++; PHP; SQL,C; C++; Python; SQL,NA
,20 or more years,NA,C++; C#; Java; JavaScript; Python; SQL,Go,NA
,9 to 10 years,Canadian dollars (C$),C#; Java; JavaScript; Objective-C; Swift,C#; Java; JavaScript; Swift,53030.30303
,20 or more years,Canadian dollars (C$),Java,NA,99478.78788
,13 to 14 years,NA,C#; JavaScript; SQL; TypeScript,C#; F#; Haskell; JavaScript; Python; SQL; Swift; TypeScript,NA
,17 to 18 years,NA,C++; Python; R,C++; Python; R,NA
,20 or more years,NA,JavaScript; PHP; SQL,JavaScript; PHP; SQL,NA
,20 or more years,NA,PHP,PHP,NA
,2 to 3 years,Swedish kroner (SEK),Java; JavaScript; PHP; Python; TypeScript,Hack; Java; TypeScript,NA
,2 to 3 years,NA,JavaScript,C++,NA
,15 to 16 years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),C#; Java; JavaScript; SQL,C#; F#; Python; SQL,7.50E+04
,4 to 5 years,NA,C; C++; C#; Java; JavaScript; Matlab; Objective-C; PHP; Python; SQL; Swift,R,NA
,8 to 9 years,U.S. dollars ($),C#; JavaScript; Python; SQL,C#; JavaScript; PHP; Python,9.50E+04
,4 to 5 years,NA,C#; JavaScript; PHP; SQL,Objective-C; Swift,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL,C#; Elixir; JavaScript; SQL,NA
,13 to 14 years,U.S. dollars ($),C#; JavaScript; PHP; SQL; Swift; TypeScript,Go; Rust,73200
,20 or more years,NA,C; C++; Java; Perl; Python; Swift,Assembly; Python,NA
,10 to 11 years,NA,Clojure; Python; R; Scala; SQL,Clojure; Elixir; Python; R; Scala; SQL,NA
,14 to 15 years,Mexican pesos (MXN$),C#; Java; JavaScript,C#; Java; JavaScript; Python; TypeScript,11961.72249
,15 to 16 years,NA,C#; Python; Ruby; SQL,C#; Python; SQL,NA
,3 to 4 years,NA,C++; C#; JavaScript; SQL,C#; JavaScript; SQL,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL; TypeScript,NA,1.40E+05
,5 to 6 years,Euros (€),C; Swift,Swift,NA
,9 to 10 years,U.S. dollars ($),C#; CoffeeScript; Java; JavaScript; Objective-C; Python; R; Rust; Swift,Elixir; JavaScript; Python; R; Rust,1.30E+05
,5 to 6 years,NA,NA,NA,NA
,17 to 18 years,Euros (€),C#; JavaScript,Clojure; Go; TypeScript,59139.78495
,14 to 15 years,U.S. dollars ($),Java; JavaScript; Perl; Scala,Java; Rust; Scala,NA
,20 or more years,NA,C; C++; C#; Java; JavaScript; Objective-C; SQL; Swift; TypeScript,C; C++; C#; Objective-C; SQL; TypeScript,NA
,20 or more years,U.S. dollars ($),C; C#; JavaScript; SQL,C; C#; Go; Swift,8.60E+04
,9 to 10 years,Indian rupees (?),C#; JavaScript,JavaScript; TypeScript,11745.70548
,7 to 8 years,NA,NA,NA,NA
,2 to 3 years,Polish zloty (zl),NA,Elixir; Haskell; Java; Julia; Python; R; Scala; SQL,20493.82716
,17 to 18 years,NA,JavaScript; Ruby,Elixir; JavaScript; Ruby; Rust; TypeScript,NA
,20 or more years,Russian rubles (?),C#; SQL,C#; JavaScript; SQL; TypeScript,15037.59398
,17 to 18 years,NA,NA,NA,NA
,10 to 11 years,Euros (€),C#; Java,Go; Haskell; Java,NA
,12 to 13 years,U.S. dollars ($),Objective-C; Swift,Objective-C; Swift,9.00E+04
,1 to 2 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,9 to 10 years,NA,JavaScript; SQL,C#; Go; Python,NA
,20 or more years,NA,C#; JavaScript; SQL; VB.NET,C#,NA
,20 or more years,U.S. dollars ($),Clojure,Clojure; Go,1.60E+05
,15 to 16 years,NA,C; C++; JavaScript; SQL,C#; JavaScript,NA
,4 to 5 years,NA,Python,Python; Rust,NA
,5 to 6 years,British pounds sterling (£),JavaScript; PHP; Ruby,Go; JavaScript; Ruby; Rust,3.20E+04
,3 to 4 years,Euros (€),JavaScript,JavaScript,35483.87097
,1 to 2 years,NA,SQL; VB.NET,SQL,NA
,4 to 5 years,Brazilian reais (R$),C#; JavaScript; Python; SQL,C#; JavaScript; SQL; TypeScript,13375.79618
,3 to 4 years,NA,NA,NA,NA
,19 to 20 years,NA,NA,NA,NA
,20 or more years,NA,Python; SQL,Go; Java; Ruby,NA
,20 or more years,NA,NA,NA,NA
,7 to 8 years,NA,Java; Python,Common Lisp; Clojure; Python; Scala,NA
,14 to 15 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,17 to 18 years,NA,Elixir; JavaScript; PHP; Python; Ruby,Elixir; Go,NA
,20 or more years,Euros (€),JavaScript; PHP; SQL; VBA,Go,32258.06452
,1 to 2 years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),C#; JavaScript; Ruby; SQL; TypeScript,C#; JavaScript; TypeScript,NA
,10 to 11 years,NA,NA,NA,NA
,9 to 10 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,2 to 3 years,NA,Clojure; Python; VBA,C#; Clojure; Swift,NA
,17 to 18 years,Swedish kroner (SEK),NA,NA,67873.30317
,20 or more years,NA,Python,Python; VB.NET,NA
,11 to 12 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,4 to 5 years,NA,C#; Java; JavaScript; SQL; TypeScript,Dart; Go; Java; Rust,NA
,9 to 10 years,NA,JavaScript; TypeScript,JavaScript,NA
,4 to 5 years,NA,NA,NA,NA
,4 to 5 years,NA,Java; TypeScript,Java,NA
,12 to 13 years,NA,JavaScript; Python; SQL,C++; JavaScript,NA
,6 to 7 years,U.S. dollars ($),C#,C#; F#; SQL; TypeScript,6.00E+04
,20 or more years,NA,JavaScript; PHP; SQL,PHP; SQL,NA
,20 or more years,NA,C++; C#; Java,C#; Java,NA
,10 to 11 years,Euros (€),C#; JavaScript; Python; SQL; TypeScript,C#; Java; JavaScript; SQL; TypeScript,26881.72043
,2 to 3 years,Indian rupees (?),NA,NA,NA
,20 or more years,U.S. dollars ($),Java; JavaScript; SQL,Dart; Go; Rust,106400
,20 or more years,NA,C++; Java; Python,C++; Java,NA
,14 to 15 years,NA,NA,NA,NA
,6 to 7 years,NA,Assembly; C; C++; Objective-C; Python; Swift,Assembly; C; C++; Swift,NA
,19 to 20 years,NA,C; C++; Objective-C; VBA,C; C++; Objective-C; VBA,NA
,15 to 16 years,NA,Java; JavaScript; Lua; SQL,Java; JavaScript; Lua; Ruby,NA
,4 to 5 years,NA,NA,NA,NA
,2 to 3 years,NA,JavaScript; PHP,JavaScript; PHP,NA
,2 to 3 years,NA,C#; JavaScript; SQL,C#; JavaScript; SQL,NA
,15 to 16 years,NA,Java; JavaScript,Go; Java; JavaScript; Python; Scala; TypeScript,74663.07278
,4 to 5 years,NA,C#; JavaScript; SQL,C#; SQL,NA
,2 to 3 years,NA,JavaScript; Ruby,Java; Scala,NA
,20 or more years,NA,C; C#,C; C#; TypeScript,NA
,20 or more years,NA,Groovy; Java; JavaScript; SQL,Groovy; Java; JavaScript; SQL,NA
,9 to 10 years,Indian rupees (?),Java; JavaScript; Scala,Haskell; Java; JavaScript; Scala; TypeScript,9396.564381
,8 to 9 years,U.S. dollars ($),Java; JavaScript; SQL,TypeScript,1.35E+05
,8 to 9 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),Assembly; C++; C#; F#; Java; JavaScript; PHP; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,C++; C#; F#; Java; JavaScript; PHP; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,NA
,9 to 10 years,NA,C#; JavaScript; Perl; Ruby; SQL,C++; JavaScript; SQL,NA
,20 or more years,U.S. dollars ($),Clojure; JavaScript; Ruby,Clojure; JavaScript; Ruby,1.40E+05
,3 to 4 years,NA,Java; JavaScript; Python,Java; JavaScript; Python,NA
,6 to 7 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),C++; C#; Java; JavaScript; Scala; SQL,NA,47500
,10 to 11 years,U.S. dollars ($),C++; Java; JavaScript; Matlab; Python; SQL,JavaScript; Python; R; Scala,7.70E+04
,20 or more years,U.S. dollars ($),Assembly; C; C++; Python,C; C++; C#; Haskell; Rust,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL; VB.NET,C#; F#; Java; JavaScript; Perl; PHP; SQL,NA
,3 to 4 years,Euros (€),Java; JavaScript; Matlab; SQL,C#; Java,NA
,20 or more years,NA,C; C++; C#; JavaScript; PHP; Python; SQL; VBA; Visual Basic 6,Go; JavaScript; PHP; Python; SQL; VBA,NA
,4 to 5 years,NA,Java,Java,NA
,4 to 5 years,NA,NA,NA,NA
,19 to 20 years,NA,CoffeeScript; Java; JavaScript; Perl; PHP; Ruby,CoffeeScript; Java; JavaScript; Perl; PHP; Ruby,NA
,20 or more years,NA,C++; C#; PHP; SQL,C++; PHP; SQL,NA
,11 to 12 years,NA,JavaScript; Ruby,Clojure; Elixir; Scala,NA
,2 to 3 years,NA,C#,JavaScript; Python; SQL; TypeScript,NA
,16 to 17 years,NA,NA,NA,NA
,14 to 15 years,NA,NA,NA,NA
,12 to 13 years,NA,C#; JavaScript; SQL; TypeScript,C#; JavaScript; TypeScript,NA
,4 to 5 years,NA,C; C++; CoffeeScript; Common Lisp; JavaScript; Objective-C; PHP; Python; Ruby; Swift; TypeScript,JavaScript; Python; Ruby; Rust; TypeScript,NA
,17 to 18 years,Euros (€),JavaScript,JavaScript,77419.35484
,8 to 9 years,NA,C#; SQL; VB.NET,C#; F#; R; SQL,NA
,9 to 10 years,NA,NA,NA,NA
,11 to 12 years,NA,C#; F#; JavaScript; SQL; TypeScript,C#; Elixir; F#; JavaScript; SQL; TypeScript,NA
,6 to 7 years,U.S. dollars ($),Java; Python; Ruby; SQL,C; C++; Go; JavaScript; Python; Ruby; Rust; SQL; Swift,1.05E+05
,5 to 6 years,NA,JavaScript,Assembly; C; Common Lisp; Clojure; Haskell; Python; Rust,NA
,12 to 13 years,U.S. dollars ($),C#; SQL; Visual Basic 6,C#; Python; SQL,6.20E+04
,5 to 6 years,NA,C++; Matlab; Python,C++; Python,NA
,9 to 10 years,Euros (€),C#; F#; JavaScript; PHP; SQL,C#; F#; Go; JavaScript; PHP; Rust; SQL; Swift,39784.94624
,19 to 20 years,U.S. dollars ($),C++; C#; Java,Go,1.50E+05
,6 to 7 years,NA,NA,NA,NA
,20 or more years,NA,PHP; Python,Dart; Go,NA
,10 to 11 years,Australian dollars (A$),C#,C#,46969.69697
,9 to 10 years,NA,C++; C#; Go; Java; JavaScript; Python; Ruby; SQL,C#; Java; JavaScript; Python,NA
,5 to 6 years,Indian rupees (?),NA,NA,NA
,11 to 12 years,NA,NA,NA,NA
,20 or more years,NA,Clojure; Java; JavaScript; Perl; Python; Scala; SQL,NA,NA
,13 to 14 years,Euros (€),NA,NA,NA
,11 to 12 years,NA,Java; JavaScript,Python; Scala,NA
,20 or more years,NA,C; C++; C#; Clojure; JavaScript; SQL; TypeScript,C#; Clojure; JavaScript,NA
,20 or more years,U.S. dollars ($),JavaScript; Ruby,Go; Python,1.29E+05
,9 to 10 years,Swiss francs,C++; Matlab; Python,Matlab; Python,8.40E+04
,14 to 15 years,NA,C++; JavaScript; PHP; Python; SQL,Go; JavaScript; PHP; Python; Rust; SQL,NA
,8 to 9 years,U.S. dollars ($),JavaScript; PHP; SQL,Java; Python,6.50E+04
,5 to 6 years,NA,NA,NA,NA
,19 to 20 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),NA,NA,1.15E+05
,13 to 14 years,NA,Groovy; Java; JavaScript; SQL,Groovy; Java; JavaScript; SQL,NA
,10 to 11 years,Canadian dollars (C$),C#; JavaScript; Python,C#; CoffeeScript; F#; JavaScript; Python; R; TypeScript,40909.09091
,7 to 8 years,Euros (€),C++; Java; JavaScript; Matlab; PHP; Python; SQL,Haskell; PHP; Python,NA
,5 to 6 years,NA,NA,NA,NA
,15 to 16 years,NA,NA,NA,NA
,1 to 2 years,Indian rupees (?),NA,NA,NA
,20 or more years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,11 to 12 years,NA,CoffeeScript; JavaScript; Ruby,JavaScript,NA
,2 to 3 years,NA,NA,NA,NA
,16 to 17 years,U.S. dollars ($),Java; JavaScript,Java; JavaScript,1.25E+05
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,U.S. dollars ($),Ruby; SQL,Assembly; C; Elixir; Erlang; Objective-C; Ruby; SQL,2.00E+03
,20 or more years,U.S. dollars ($),C; C++,C; C++; JavaScript; Python,9.50E+04
,15 to 16 years,NA,C; C++; C#; JavaScript; Lua; Objective-C; Python; SQL; TypeScript,C++; C#; Python; Swift; TypeScript,NA
,13 to 14 years,U.S. dollars ($),C; C#; Java; JavaScript; Python; SQL; VB.NET,C#; JavaScript; SQL; TypeScript,8.80E+04
,7 to 8 years,NA,C++; Perl; Python,C++; Haskell; Perl; Python; Rust,NA
,12 to 13 years,Mexican pesos (MXN$),JavaScript; PHP,C#; JavaScript; PHP,NA
,14 to 15 years,British pounds sterling (£),C; C++; Python; Ruby,C; C++; Erlang; Ruby; Rust,NA
,5 to 6 years,NA,NA,NA,NA
,20 or more years,NA,CoffeeScript; JavaScript; Ruby; SQL; Swift,C++; CoffeeScript; JavaScript; Objective-C; Ruby; SQL; Swift,NA
,4 to 5 years,NA,NA,NA,NA
,19 to 20 years,Japanese yen (¥),Clojure; Java; Lua; Rust,Clojure; Rust,86858.33406
,9 to 10 years,NA,C#; JavaScript; PHP; SQL,JavaScript; PHP; Python; SQL,NA
,9 to 10 years,NA,C; C++; C#; JavaScript; Python; SQL; VB.NET,NA,NA
,4 to 5 years,NA,C#; Python; R; SQL; VBA,Java; Matlab; Python; R; SQL,NA
,5 to 6 years,NA,NA,NA,NA
,14 to 15 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,9 to 10 years,NA,NA,NA,NA
,13 to 14 years,NA,C++; Swift,C#; Swift,NA
,20 or more years,NA,JavaScript; TypeScript,C#; JavaScript; TypeScript,NA
,11 to 12 years,NA,NA,NA,NA
,16 to 17 years,NA,CoffeeScript; JavaScript; PHP; Python; Ruby,C#; Go; Ruby; Swift,NA
,9 to 10 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL,C#; F#; JavaScript; R; SQL; Swift; TypeScript,117250
,7 to 8 years,NA,JavaScript; PHP; SQL,Assembly; Elixir,NA
,9 to 10 years,U.S. dollars ($),C++; Groovy; Java; Python; Ruby; Scala; SQL,Haskell,NA
,2 to 3 years,NA,NA,NA,NA
,12 to 13 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),Objective-C; Ruby; Swift,Ruby; Swift,1.55E+05
,6 to 7 years,Euros (€),JavaScript; PHP; SQL,Lua; Python; TypeScript,NA
,2 to 3 years,NA,NA,NA,NA
,15 to 16 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,9 to 10 years,Canadian dollars (C$),Groovy; Java; JavaScript; Objective-C; Perl,Java; JavaScript; Objective-C; Perl; Swift,63636.36364
,4 to 5 years,NA,NA,NA,NA
,15 to 16 years,NA,C#; JavaScript; PHP; SQL,C#; JavaScript; SQL; TypeScript,NA
